RECEITAS,UF,VALOR,DATA
  IPI - FUMO,DF, -    ,2015-01-31
  IPI - FUMO,ES, -    ,2015-01-31
  IPI - FUMO,GO,22161,2015-01-31
  IPI - FUMO,MA, -    ,2015-01-31
  IPI - FUMO,MG,894477627,2015-01-31
  IPI - FUMO,MS,1140,2015-01-31
  IPI - FUMO,MT, -    ,2015-01-31
  IPI - FUMO,PA, -    ,2015-01-31
  IPI - FUMO,PB, -    ,2015-01-31
  IPI - FUMO,PE, -    ,2015-01-31
  IPI - FUMO,PI, -    ,2015-01-31
  IPI - FUMO,PR,853,2015-01-31
  IPI - FUMO,RJ,9262,2015-01-31
  IPI - FUMO,RN,164614,2015-01-31
  IPI - FUMO,RO, -    ,2015-01-31
  IPI - FUMO,RR, -    ,2015-01-31
  IPI - FUMO,RS,653634002,2015-01-31
  IPI - FUMO,SC,67134,2015-01-31
  IPI - FUMO,SE,174541,2015-01-31
  IPI - FUMO,SP,3116544,2015-01-31
  IPI - FUMO,TO, -    ,2015-01-31
  IPI - FUMO,TOTAL,1551978607,2015-01-31
  IPI - BEBIDAS,AC, -    ,2015-01-31
  IPI - BEBIDAS,AL,197803,2015-01-31
  IPI - BEBIDAS,AM,4440540,2015-01-31
  IPI - BEBIDAS,AP, -    ,2015-01-31
  IPI - BEBIDAS,BA,19570922,2015-01-31
  IPI - BEBIDAS,CE,12322575,2015-01-31
  IPI - BEBIDAS,DF,986185,2015-01-31
  IPI - BEBIDAS,ES,611298,2015-01-31
  IPI - BEBIDAS,GO,7316732,2015-01-31
  IPI - BEBIDAS,MA,6319757,2015-01-31
  IPI - BEBIDAS,MG,23785415,2015-01-31
  IPI - BEBIDAS,MS,121022,2015-01-31
  IPI - BEBIDAS,MT,2863198,2015-01-31
  IPI - BEBIDAS,PA,2996267,2015-01-31
  IPI - BEBIDAS,PB,2293970,2015-01-31
  IPI - BEBIDAS,PE,31529792,2015-01-31
  IPI - BEBIDAS,PI,752454,2015-01-31
  IPI - BEBIDAS,PR,7635756,2015-01-31
  IPI - BEBIDAS,RJ,35370814,2015-01-31
  IPI - BEBIDAS,RN,398145,2015-01-31
  IPI - BEBIDAS,RO,6789,2015-01-31
  IPI - BEBIDAS,RR,4121,2015-01-31
  IPI - BEBIDAS,RS,19041031,2015-01-31
  IPI - BEBIDAS,SC,8877066,2015-01-31
  IPI - BEBIDAS,SE,3917499,2015-01-31
  IPI - BEBIDAS,SP,97875402,2015-01-31
  IPI - BEBIDAS,TO,2022,2015-01-31
  IPI - BEBIDAS,TOTAL,289236574,2015-01-31
  IPI - AUTOMÓVEIS,AC,3539,2015-01-31
  IPI - AUTOMÓVEIS,AL, -    ,2015-01-31
  IPI - AUTOMÓVEIS,AM,13643,2015-01-31
  IPI - AUTOMÓVEIS,AP, -    ,2015-01-31
  IPI - AUTOMÓVEIS,BA,28427,2015-01-31
  IPI - AUTOMÓVEIS,CE,2168,2015-01-31
  IPI - AUTOMÓVEIS,DF,9950,2015-01-31
  IPI - AUTOMÓVEIS,ES,26546566,2015-01-31
  IPI - AUTOMÓVEIS,GO,6809439,2015-01-31
  IPI - AUTOMÓVEIS,MA, -    ,2015-01-31
  IPI - AUTOMÓVEIS,MG,8278858,2015-01-31
  IPI - AUTOMÓVEIS,MS, -    ,2015-01-31
  IPI - AUTOMÓVEIS,MT, -    ,2015-01-31
  IPI - AUTOMÓVEIS,PA,2873,2015-01-31
  IPI - AUTOMÓVEIS,PB,3509,2015-01-31
  IPI - AUTOMÓVEIS,PE,1365484,2015-01-31
  IPI - AUTOMÓVEIS,PI, -    ,2015-01-31
  IPI - AUTOMÓVEIS,PR,74488717,2015-01-31
  IPI - AUTOMÓVEIS,RJ,34997186,2015-01-31
  IPI - AUTOMÓVEIS,RN, -    ,2015-01-31
  IPI - AUTOMÓVEIS,RO,330,2015-01-31
  IPI - AUTOMÓVEIS,RR,9914,2015-01-31
  IPI - AUTOMÓVEIS,RS,23312676,2015-01-31
  IPI - AUTOMÓVEIS,SC,25828333,2015-01-31
  IPI - AUTOMÓVEIS,SE, -    ,2015-01-31
  IPI - AUTOMÓVEIS,SP,147390833,2015-01-31
  IPI - AUTOMÓVEIS,TO, -    ,2015-01-31
  IPI - AUTOMÓVEIS,TOTAL,349092444,2015-01-31
  IPI - VINCULADO À IMPORTACAO,AC,6854,2015-01-31
  IPI - VINCULADO À IMPORTACAO,AL,194043,2015-01-31
  IPI - VINCULADO À IMPORTACAO,AM,11786148,2015-01-31
  IPI - VINCULADO À IMPORTACAO,AP,360521,2015-01-31
  IPI - VINCULADO À IMPORTACAO,BA,41190993,2015-01-31
  IPI - VINCULADO À IMPORTACAO,CE,17715303,2015-01-31
  IPI - VINCULADO À IMPORTACAO,DF,1507270,2015-01-31
  IPI - VINCULADO À IMPORTACAO,ES,154670932,2015-01-31
  IPI - VINCULADO À IMPORTACAO,GO,4140761,2015-01-31
  IPI - VINCULADO À IMPORTACAO,MA,1785846,2015-01-31
  IPI - VINCULADO À IMPORTACAO,MG,39843104,2015-01-31
  IPI - VINCULADO À IMPORTACAO,MS,385591,2015-01-31
  IPI - VINCULADO À IMPORTACAO,MT,12499514,2015-01-31
  IPI - VINCULADO À IMPORTACAO,PA,1536678,2015-01-31
  IPI - VINCULADO À IMPORTACAO,PB,1046663,2015-01-31
  IPI - VINCULADO À IMPORTACAO,PE,50192037,2015-01-31
  IPI - VINCULADO À IMPORTACAO,PI,128,2015-01-31
  IPI - VINCULADO À IMPORTACAO,PR,117694238,2015-01-31
  IPI - VINCULADO À IMPORTACAO,RJ,116500815,2015-01-31
  IPI - VINCULADO À IMPORTACAO,RN,298278,2015-01-31
  IPI - VINCULADO À IMPORTACAO,RO,544,2015-01-31
  IPI - VINCULADO À IMPORTACAO,RR, -    ,2015-01-31
  IPI - VINCULADO À IMPORTACAO,RS,75494888,2015-01-31
  IPI - VINCULADO À IMPORTACAO,SC,208852523,2015-01-31
  IPI - VINCULADO À IMPORTACAO,SE,15376,2015-01-31
  IPI - VINCULADO À IMPORTACAO,SP,534414253,2015-01-31
  IPI - VINCULADO À IMPORTACAO,TO, -    ,2015-01-31
  IPI - VINCULADO À IMPORTACAO,TOTAL,1392133303,2015-01-31
  IPI - OUTROS,AC,41396,2015-01-31
  IPI - OUTROS,AL,1734446,2015-01-31
  IPI - OUTROS,AM,8574260,2015-01-31
  IPI - OUTROS,AP,802835,2015-01-31
  IPI - OUTROS,BA,57664034,2015-01-31
  IPI - OUTROS,CE,11853025,2015-01-31
  IPI - OUTROS,DF,4686843,2015-01-31
  IPI - OUTROS,ES,31364250,2015-01-31
  IPI - OUTROS,GO,12051189,2015-01-31
  IPI - OUTROS,MA,1517471,2015-01-31
  IPI - OUTROS,MG,123786365,2015-01-31
  IPI - OUTROS,MS,8171541,2015-01-31
  IPI - OUTROS,MT,2816388,2015-01-31
  IPI - OUTROS,PA,3285783,2015-01-31
  IPI - OUTROS,PB,2429473,2015-01-31
  IPI - OUTROS,PE,42221029,2015-01-31
  IPI - OUTROS,PI,3186497,2015-01-31
  IPI - OUTROS,PR,120205562,2015-01-31
  IPI - OUTROS,RJ,130118658,2015-01-31
  IPI - OUTROS,RN,2530536,2015-01-31
  IPI - OUTROS,RO,2197059,2015-01-31
  IPI - OUTROS,RR,12824,2015-01-31
  IPI - OUTROS,RS,122120988,2015-01-31
  IPI - OUTROS,SC,146294872,2015-01-31
  IPI - OUTROS,SE,5656736,2015-01-31
  IPI - OUTROS,SP,991552001,2015-01-31
  IPI - OUTROS,TO,1610727,2015-01-31
  IPI - OUTROS,TOTAL,1838486787,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,AC,21271441,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,AL,70945942,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,AM,275543964,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,AP,14718495,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,BA,474508398,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,CE,404066182,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,DF,3992288077,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,ES,433349352,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,GO,410048217,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,MA,98332447,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,MG,2548469521,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,MS,236903265,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,MT,217295576,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,PA,202237878,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,PB,111708492,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,PE,549043409,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,PI,77838472,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,PR,1745361761,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,RJ,6510742584,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,RN,123769545,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,RO,62663723,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,RR,17391975,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,RS,1652416906,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,SC,1109042448,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,SE,86720709,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,SP,18433534549,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,TO,49235354,2015-01-31
IMPOSTO SOBRE A RENDA - TOTAL,TOTAL,39929448681,2015-01-31
  IRPF,AC,1515084,2015-01-31
  IRPF,AL,5050811,2015-01-31
  IRPF,AM,9428525,2015-01-31
  IRPF,AP,2481316,2015-01-31
  IRPF,BA,21800269,2015-01-31
  IRPF,CE,18373011,2015-01-31
  IRPF,DF,28845704,2015-01-31
  IRPF,ES,14734410,2015-01-31
  IRPF,GO,15638770,2015-01-31
  IRPF,MA,7819690,2015-01-31
  IRPF,MG,114136101,2015-01-31
  IRPF,MS,11219432,2015-01-31
  IRPF,MT,11250082,2015-01-31
  IRPF,PA,11649093,2015-01-31
  IRPF,PB,8580853,2015-01-31
  IRPF,PE,15535869,2015-01-31
  IRPF,PI,4280771,2015-01-31
  IRPF,PR,76890623,2015-01-31
  IRPF,RJ,269624899,2015-01-31
  IRPF,RN,6835707,2015-01-31
  IRPF,RO,3464073,2015-01-31
  IRPF,RR,1287687,2015-01-31
  IRPF,RS,68683309,2015-01-31
  IRPF,SC,33362077,2015-01-31
  IRPF,SE,7250968,2015-01-31
  IRPF,SP,503737817,2015-01-31
  IRPF,TO,2796317,2015-01-31
  IRPF,TOTAL,1276273268,2015-01-31
  IRPJ,AC,11549574,2015-01-31
  IRPJ,AL,37906982,2015-01-31
  IRPJ,AM,135933667,2015-01-31
  IRPJ,AP,7748264,2015-01-31
  IRPJ,BA,256724378,2015-01-31
  IRPJ,CE,218605118,2015-01-31
  IRPJ,DF,1157062868,2015-01-31
  IRPJ,ES,286516812,2015-01-31
  IRPJ,GO,258742580,2015-01-31
  IRPJ,MA,59489839,2015-01-31
  IRPJ,MG,1588612818,2015-01-31
  IRPJ,MS,178230194,2015-01-31
  IRPJ,MT,125245456,2015-01-31
  IRPJ,PA,100756249,2015-01-31
  IRPJ,PB,57624065,2015-01-31
  IRPJ,PE,367334013,2015-01-31
  IRPJ,PI,42943413,2015-01-31
  IRPJ,PR,947063060,2015-01-31
  IRPJ,RJ,3524868398,2015-01-31
  IRPJ,RN,70856874,2015-01-31
  IRPJ,RO,31824335,2015-01-31
  IRPJ,RR,10130013,2015-01-31
  IRPJ,RS,947291231,2015-01-31
  IRPJ,SC,722299407,2015-01-31
  IRPJ,SE,33391146,2015-01-31
  IRPJ,SP,9371332753,2015-01-31
  IRPJ,TO,27929401,2015-01-31
  IRPJ,TOTAL,20578012907,2015-01-31
    ENTIDADES FINANCEIRAS,AC,2059,2015-01-31
    ENTIDADES FINANCEIRAS,AL,155314,2015-01-31
    ENTIDADES FINANCEIRAS,AM,1415166,2015-01-31
    ENTIDADES FINANCEIRAS,AP,1870,2015-01-31
    ENTIDADES FINANCEIRAS,BA,3986408,2015-01-31
    ENTIDADES FINANCEIRAS,CE,7392147,2015-01-31
    ENTIDADES FINANCEIRAS,DF,516001014,2015-01-31
    ENTIDADES FINANCEIRAS,ES,3400415,2015-01-31
    ENTIDADES FINANCEIRAS,GO,1785629,2015-01-31
    ENTIDADES FINANCEIRAS,MA,8497,2015-01-31
    ENTIDADES FINANCEIRAS,MG,20772736,2015-01-31
    ENTIDADES FINANCEIRAS,MS,4329,2015-01-31
    ENTIDADES FINANCEIRAS,MT,363531,2015-01-31
    ENTIDADES FINANCEIRAS,PA,17725378,2015-01-31
    ENTIDADES FINANCEIRAS,PB,100198,2015-01-31
    ENTIDADES FINANCEIRAS,PE,100433911,2015-01-31
    ENTIDADES FINANCEIRAS,PI,897,2015-01-31
    ENTIDADES FINANCEIRAS,PR,105594647,2015-01-31
    ENTIDADES FINANCEIRAS,RJ,1010282180,2015-01-31
    ENTIDADES FINANCEIRAS,RN,167989,2015-01-31
    ENTIDADES FINANCEIRAS,RO,93463,2015-01-31
    ENTIDADES FINANCEIRAS,RR, -    ,2015-01-31
    ENTIDADES FINANCEIRAS,RS,163473615,2015-01-31
    ENTIDADES FINANCEIRAS,SC,12332423,2015-01-31
    ENTIDADES FINANCEIRAS,SE,19029,2015-01-31
    ENTIDADES FINANCEIRAS,SP,2481098031,2015-01-31
    ENTIDADES FINANCEIRAS,TO, -    ,2015-01-31
    ENTIDADES FINANCEIRAS,TOTAL,4446610875,2015-01-31
    DEMAIS EMPRESAS,AC,11547516,2015-01-31
    DEMAIS EMPRESAS,AL,37751669,2015-01-31
    DEMAIS EMPRESAS,AM,134518501,2015-01-31
    DEMAIS EMPRESAS,AP,7746394,2015-01-31
    DEMAIS EMPRESAS,BA,252737971,2015-01-31
    DEMAIS EMPRESAS,CE,211212971,2015-01-31
    DEMAIS EMPRESAS,DF,641061854,2015-01-31
    DEMAIS EMPRESAS,ES,283116397,2015-01-31
    DEMAIS EMPRESAS,GO,256956951,2015-01-31
    DEMAIS EMPRESAS,MA,59481342,2015-01-31
    DEMAIS EMPRESAS,MG,1567840082,2015-01-31
    DEMAIS EMPRESAS,MS,178225865,2015-01-31
    DEMAIS EMPRESAS,MT,124881925,2015-01-31
    DEMAIS EMPRESAS,PA,83030870,2015-01-31
    DEMAIS EMPRESAS,PB,57523867,2015-01-31
    DEMAIS EMPRESAS,PE,266900103,2015-01-31
    DEMAIS EMPRESAS,PI,42942516,2015-01-31
    DEMAIS EMPRESAS,PR,841468413,2015-01-31
    DEMAIS EMPRESAS,RJ,2514586217,2015-01-31
    DEMAIS EMPRESAS,RN,70688884,2015-01-31
    DEMAIS EMPRESAS,RO,31730872,2015-01-31
    DEMAIS EMPRESAS,RR,10130013,2015-01-31
    DEMAIS EMPRESAS,RS,783817616,2015-01-31
    DEMAIS EMPRESAS,SC,709966984,2015-01-31
    DEMAIS EMPRESAS,SE,33372117,2015-01-31
    DEMAIS EMPRESAS,SP,6890234722,2015-01-31
    DEMAIS EMPRESAS,TO,27929401,2015-01-31
    DEMAIS EMPRESAS,TOTAL,16131402032,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,AC,8206783,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,AL,27988148,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,AM,130181772,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,AP,4488914,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,BA,195983751,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,CE,167088053,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,DF,2806379505,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,ES,132098130,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,GO,135666866,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,MA,31022918,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,MG,845720603,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,MS,47453639,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,MT,80800039,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,PA,89832537,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,PB,45503574,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,PE,166173527,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,PI,30614288,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,PR,721408078,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,RJ,2716249287,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,RN,46076965,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,RO,27375315,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,RR,5974276,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,RS,636442366,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,SC,353380964,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,SE,46078595,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,SP,8558463978,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,TO,18509636,2015-01-31
  IMPOSTO S/ RENDA RETIDO NA FONTE,TOTAL,18075162505,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,AC,7615113,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,AL,23686153,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,AM,99170376,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,AP,4093617,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,BA,153286633,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,CE,115086950,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,DF,2091013747,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,ES,88962496,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,GO,100879740,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,MA,25722835,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,MG,574412885,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,MS,38362035,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,MT,60733880,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,PA,76463684,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,PB,39416431,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,PE,131734228,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,PI,21945646,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,PR,389138344,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,RJ,1695576085,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,RN,39726915,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,RO,20842080,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,RR,5660316,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,RS,434952008,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,SC,216435359,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,SE,38693885,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,SP,4060116903,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,TO,9059263,2015-01-31
    IRRF - RENDIMENTOS DO TRABALHO,TOTAL,10562787606,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,AC,404871,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,AL,2483258,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,AM,9278206,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,AP,74237,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,BA,18613700,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,CE,31468738,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,DF,389747992,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,ES,24242861,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,GO,23288023,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,MA,2257625,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,MG,141564268,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,MS,6293081,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,MT,15277502,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,PA,5493245,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,PB,2111030,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,PE,19121660,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,PI,6388836,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,PR,176278089,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,RJ,531361738,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,RN,3053520,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,RO,5485743,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,RR,136763,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,RS,134955600,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,SC,101981704,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,SE,4933939,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,SP,2236319460,2015-01-31
    IRRF - RENDIMENTOS DO CAPITAL,TO,8612901,2015-01-31
